,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
36,46.0,36.0,37.0,39.0,54.0,28.0,48.0,31.0,64.0,72.0,27.0,40.0,52.0,47.0,41.0,51.0,43.0,,42.0,44.0,28.0,55.0,28.0,31.0,31.0,43.0,45.0,29.0,25.0,38.0,43.0,60.0,59.0,51.0,47.0,50.0,36.0,29.0,45.0,39.0,47.0,57.0,,,55.0,49.0,35.0,45.0
37,36.0,38.0,46.0,26.0,37.0,37.0,45.0,47.0,21.0,70.0,42.0,35.0,44.0,39.0,60.0,44.0,54.0,30.0,30.0,29.0,43.0,38.0,39.0,41.0,41.0,29.0,43.0,33.0,45.0,26.0,42.0,34.0,42.0,44.0,21.0,51.0,39.0,42.0,30.0,36.0,40.0,37.0,46.0,32.0,49.0,63.0,27.0,41.0
38,63.0,56.0,54.0,41.0,54.0,,35.0,67.0,51.0,,55.0,,47.0,,52.0,,46.0,59.0,68.0,48.0,49.0,57.0,39.0,55.0,30.0,54.0,41.0,,43.0,38.0,60.0,31.0,62.0,44.0,55.0,,39.0,,34.0,45.0,41.0,,50.0,48.0,39.0,57.0,41.0,54.0
39,55.0,46.0,53.0,,50.0,,39.0,48.0,44.0,,,34.0,33.0,44.0,57.0,41.0,48.0,46.0,37.0,52.0,42.0,54.0,48.0,,45.0,45.0,,45.0,50.0,49.0,45.0,,58.0,40.0,50.0,63.0,41.0,39.0,42.0,,50.0,48.0,34.0,,48.0,65.0,47.0,62.0
40,51.0,28.0,49.0,36.0,38.0,60.0,39.0,46.0,45.0,62.0,52.0,42.0,51.0,44.0,,54.0,52.0,38.0,24.0,45.0,39.0,66.0,37.0,47.0,57.0,37.0,48.0,43.0,30.0,47.0,49.0,39.0,37.0,37.0,51.0,44.0,48.0,42.0,28.0,48.0,39.0,52.0,41.0,42.0,58.0,59.0,47.0,45.0
41,64.0,50.0,45.0,,62.0,66.0,52.0,42.0,49.0,,50.0,37.0,48.0,,,62.0,56.0,41.0,,,52.0,,27.0,50.0,50.0,,46.0,34.0,58.0,56.0,61.0,45.0,55.0,54.0,54.0,64.0,49.0,,44.0,39.0,,35.0,48.0,48.0,39.0,64.0,,44.0
42,,46.0,,49.0,49.0,38.0,28.0,48.0,41.0,57.0,47.0,,48.0,63.0,49.0,56.0,55.0,52.0,18.0,44.0,44.0,51.0,51.0,63.0,38.0,50.0,45.0,47.0,,48.0,50.0,,,55.0,34.0,42.0,34.0,42.0,46.0,36.0,34.0,56.0,57.0,21.0,46.0,71.0,44.0,33.0
43,,,,54.0,,,49.0,39.0,54.0,,62.0,,,,49.0,,,56.0,51.0,,59.0,,,,56.0,,56.0,,,42.0,,,,,,,45.0,,39.0,,,,,,,,55.0,42.0
44,47.0,,51.0,,52.0,47.0,,68.0,,44.0,55.0,43.0,,38.0,,46.0,55.0,45.0,53.0,,,,49.0,,,37.0,42.0,42.0,50.0,45.0,52.0,21.0,,,,14.0,39.0,,66.0,38.0,51.0,56.0,50.0,49.0,41.0,,28.0,58.0
45,56.0,48.0,42.0,33.0,69.0,55.0,39.0,39.0,41.0,68.0,28.0,27.0,43.0,49.0,65.0,49.0,45.0,45.0,39.0,29.0,44.0,59.0,40.0,59.0,38.0,42.0,43.0,34.0,42.0,57.0,25.0,38.0,59.0,43.0,47.0,54.0,42.0,40.0,37.0,45.0,54.0,47.0,38.0,50.0,43.0,55.0,34.0,57.0
46,62.0,42.0,43.0,26.0,34.0,51.0,36.0,30.0,48.0,61.0,26.0,18.0,36.0,47.0,40.0,46.0,48.0,40.0,36.0,35.0,56.0,37.0,33.0,46.0,37.0,48.0,35.0,49.0,42.0,35.0,38.0,37.0,59.0,47.0,37.0,44.0,29.0,30.0,50.0,34.0,49.0,46.0,42.0,,25.0,76.0,34.0,41.0
47,63.0,26.0,43.0,34.0,38.0,55.0,40.0,42.0,27.0,51.0,32.0,45.0,37.0,44.0,53.0,34.0,49.0,25.0,63.0,43.0,32.0,47.0,38.0,55.0,43.0,47.0,40.0,44.0,41.0,29.0,38.0,33.0,63.0,43.0,45.0,36.0,35.0,34.0,48.0,46.0,32.0,23.0,44.0,34.0,54.0,58.0,42.0,25.0
48,57.0,48.0,40.0,35.0,43.0,55.0,35.0,43.0,44.0,62.0,51.0,27.0,34.0,52.0,,48.0,54.0,36.0,40.0,41.0,51.0,32.0,38.0,57.0,44.0,36.0,34.0,58.0,46.0,42.0,43.0,41.0,63.0,52.0,41.0,25.0,33.0,35.0,51.0,38.0,45.0,34.0,34.0,56.0,32.0,68.0,41.0,41.0
49,59.0,53.0,54.0,40.0,43.0,44.0,51.0,38.0,35.0,60.0,50.0,52.0,49.0,51.0,50.0,55.0,63.0,29.0,43.0,42.0,37.0,30.0,43.0,42.0,,51.0,40.0,29.0,39.0,28.0,29.0,43.0,66.0,47.0,26.0,49.0,30.0,61.0,66.0,54.0,42.0,60.0,38.0,40.0,51.0,66.0,46.0,
