,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
36,35.0,29.0,35.0,48.0,37.0,54.0,31.0,43.0,43.0,55.0,39.0,44.0,43.0,50.0,32.0,49.0,14.0,53.0,36.0,25.0,37.0,39.0,34.0,46.0,47.0,,43.0,36.0,43.0,40.0,34.0,23.0,31.0,54.0,49.0,34.0,43.0,38.0,39.0,47.0,44.0,,41.0,54.0,46.0,43.0,43.0,47.0
37,38.0,35.0,51.0,30.0,47.0,43.0,23.0,32.0,44.0,44.0,42.0,41.0,30.0,50.0,39.0,29.0,33.0,45.0,39.0,27.0,43.0,36.0,23.0,35.0,35.0,30.0,36.0,40.0,31.0,50.0,45.0,52.0,37.0,45.0,47.0,50.0,16.0,36.0,44.0,32.0,32.0,,44.0,59.0,36.0,31.0,36.0,52.0
38,57.0,50.0,60.0,46.0,54.0,48.0,37.0,50.0,33.0,70.0,54.0,46.0,54.0,47.0,49.0,,36.0,54.0,53.0,53.0,42.0,42.0,37.0,48.0,64.0,54.0,14.0,39.0,32.0,47.0,52.0,55.0,49.0,46.0,42.0,,48.0,49.0,47.0,53.0,55.0,,43.0,,55.0,41.0,,65.0
39,,41.0,61.0,,50.0,40.0,47.0,63.0,,64.0,49.0,51.0,53.0,37.0,35.0,48.0,43.0,46.0,37.0,45.0,32.0,36.0,47.0,43.0,51.0,,55.0,,37.0,51.0,38.0,39.0,23.0,52.0,46.0,35.0,,29.0,50.0,43.0,49.0,50.0,,58.0,43.0,62.0,,47.0
40,46.0,41.0,68.0,,41.0,37.0,23.0,50.0,49.0,50.0,44.0,40.0,47.0,16.0,49.0,24.0,45.0,41.0,40.0,36.0,37.0,36.0,49.0,49.0,59.0,52.0,47.0,,51.0,33.0,32.0,38.0,46.0,50.0,49.0,42.0,37.0,37.0,46.0,43.0,36.0,44.0,39.0,45.0,38.0,46.0,37.0,42.0
41,39.0,51.0,62.0,48.0,43.0,70.0,48.0,60.0,63.0,43.0,31.0,,,48.0,,,45.0,54.0,44.0,43.0,56.0,55.0,55.0,31.0,,,40.0,54.0,,42.0,56.0,36.0,48.0,49.0,46.0,56.0,50.0,42.0,59.0,,53.0,62.0,46.0,48.0,,55.0,46.0,37.0
42,32.0,37.0,36.0,44.0,47.0,50.0,48.0,52.0,51.0,50.0,46.0,,32.0,51.0,41.0,37.0,37.0,46.0,40.0,51.0,32.0,40.0,45.0,42.0,49.0,37.0,46.0,,34.0,33.0,45.0,43.0,49.0,36.0,47.0,54.0,45.0,52.0,46.0,71.0,39.0,52.0,48.0,45.0,53.0,,51.0,37.0
43,,42.0,,,,,,,35.0,63.0,,,,,,,,63.0,,,,,,49.0,,,,,33.0,,55.0,,,,,,36.0,59.0,,,,,,49.0,,,,
44,,31.0,60.0,49.0,,38.0,44.0,53.0,48.0,,,,,,63.0,,,35.0,,,47.0,,,46.0,,,49.0,,,52.0,,35.0,,,,59.0,37.0,51.0,52.0,,51.0,55.0,19.0,51.0,49.0,,,36.0
45,43.0,45.0,54.0,64.0,51.0,45.0,39.0,48.0,57.0,50.0,19.0,32.0,46.0,40.0,25.0,23.0,36.0,46.0,48.0,52.0,31.0,51.0,42.0,36.0,53.0,,43.0,44.0,63.0,48.0,46.0,35.0,,55.0,55.0,55.0,42.0,49.0,47.0,32.0,57.0,40.0,47.0,41.0,27.0,34.0,53.0,53.0
